type,text,title,xmlUrl,htmlUrl
rss,"99% Invisible","99% Invisible",http://feeds.99percentinvisible.org/99percentinvisible,http://99percentinvisible.org/
rss,"Planet Money","Planet Money",http://www.npr.org/rss/podcast.php?id=510289,http://www.npr.org/planetmoney
rss,Codebreaker,Codebreaker,http://feeds.feedburner.com/CodebreakerByMarketplaceAndTechInsider,http://codebreaker.codes/
rss,CodeNewbie,CodeNewbie,http://feeds.codenewbie.org/cnpodcast.xml,http://www.codenewbie.org/podcast
rss,"Missing Richard Simmons","Missing Richard Simmons",https://rss.prod.firstlook.media/missingrichardsimmons/podcast.rss,https://www.missingrichardsimmons.com/
rss,"Intercepted with Jeremy Scahill","Intercepted with Jeremy Scahill",http://feeds.feedburner.com/InterceptedWithJeremyScahill,https://theintercept.com/podcasts
rss,"Pod Save the World","Pod Save the World",http://feeds.feedburner.com/pod-save-the-world,https://art19.com/shows/pod-save-the-world
rss,S-Town,S-Town,http://feeds.stownpodcast.org/stownpodcast,https://stownpodcast.org/
rss,Radiolab,Radiolab,http://feeds.wnyc.org/radiolab,http://www.radiolab.org/series/podcasts/
rss,"The Truth","The Truth",http://feeds.feedburner.com/thetruthapm,http://thetruthpodcast.com/
rss,"The Tim Ferriss Show","The Tim Ferriss Show",http://feeds.feedburner.com/thetimferrissshow,http://www.fourhourworkweek.com/
rss,"The World According to Sound","The World According to Sound",http://feeds.soundcloud.com/users/soundcloud:users:162376586/sounds.rss,http://www.theworldaccordingtosound.org/
rss,Homecoming,Homecoming,http://feeds.gimletmedia.com/homecomingshow,https://feeds.gimletmedia.com/show/homecoming
rss,"Security Now (MP3)","Security Now (MP3)",http://feeds.twit.tv/sn.xml,https://twit.tv/shows/security-now
rss,"Telemetry: The sound of science in Yellowstone","Telemetry: The sound of science in Yellowstone",https://www.nps.gov/yell/learn/photosmultimedia/upload/TelemetryPodcast.rss,http://www.nps.gov/yell/learn/photosmultimedia/telemetry.htm
rss,"Accidental Tech Podcast","Accidental Tech Podcast",http://atp.fm/episodes?format=rss,http://atp.fm/
rss,LifeAfter,LifeAfter,http://feeds.feedburner.com/themessagepodcast,http://lif-e.af/ter
rss,Hacked,Hacked,http://www.hackedpodcast.com/feed/podcast/,http://www.hackedpodcast.com/
rss,"Sound Matters","Sound Matters",http://feeds.soundcloud.com/users/soundcloud:users:6724477/sounds.rss,http://beoplay.com/sound_matters
rss,OFFSHORE,OFFSHORE,http://feeds.civilbeat.org/civilbeatoffshore,http://offshorepodcast.com/
rss,"The Mysterious Secrets Of Uncle Bertie's Botanarium","The Mysterious Secrets Of Uncle Bertie's Botanarium",https://rss.art19.com/the-mysterious-secrets-of-uncle-berties-botanarium,https://art19.com/shows/the-mysterious-secrets-of-uncle-berties-botanarium
rss,"Under the Radar","Under the Radar",https://www.relay.fm/radar/feed,https://www.relay.fm/radar
rss,"Switched On Pop","Switched On Pop",http://feeds.feedburner.com/SwitchedOnPopPodcast,http://www.switchedonpop.com/
rss,"Note to Self","Note to Self",http://feeds.wnyc.org/notetoself-podcast,http://www.wnyc.org/shows/notetoself
rss,Criminal,Criminal,http://feeds.feedburner.com/CriminalShow,http://thisiscriminal.com/
rss,"Freakonomics Radio","Freakonomics Radio",http://feeds.feedburner.com/freakonomicsradio,http://www.wnyc.org/articles/freakonomics-podcast
rss,"Reply All","Reply All",http://feeds.gimletmedia.com/hearreplyall,http://gimletmedia.com/shows/reply-all
rss,"City Soundtracks","City Soundtracks",http://feeds.megaphone.fm/citysoundtracks,https://cms.megaphone.fm/channel/citysoundtracks
rss,"Why Oh Why","Why Oh Why",https://wfmu.org/podcast/LK.xml,http://www.whyohwhyradio.com/
rss,"The Design Of Business | The Business of Design","The Design Of Business | The Business of Design",http://designobserver.com/show.dbbd.xml,http://designobserver.com/designofbusiness
rss,"Sound Show","Sound Show",https://feeds.theoutline.com/soundshow,http://theoutline.com/
rss,"Benjamen Walker's Theory of Everything","Benjamen Walker's Theory of Everything",http://feeds.prx.org/toe,https://toe.prx.org/
rss,"Song Exploder","Song Exploder",http://songexploder.libsyn.com/rss,http://www.songexploder.net/
rss,"The Allusionist","The Allusionist",http://feeds.theallusionist.org/Allusionist,http://theallusionist.org/
rss,"Twenty Thousand Hertz","Twenty Thousand Hertz",http://20khz.libsyn.com/rss,http://www.20k.org/
